mz,RT,feature,Omni14,Omni8,Omni12,Omni3,Omni2,Omni10,Omni13,Omni7,Omni4,Omni11,Omni9,Omni1,Omni15,Omni6,Omni5
469.900366324042,78.3087,f1321,133198.985358316,228538.23273678,116395.30250918,150629.516069804,166150.550934512,118977.205010022,153176.933256301,117050.623002437,126319.738393652,105534.865001349,94232.7664321411,139835.638065784,118590.52533284,103796.453346303,146341.750995196
470.691705279436,1334.14409999998,f1322,0,0,0,0,64381.8411386929,0,13936.7777819932,0,44108.3129077046,14245.4389591843,0,19746.2372526526,0,8165.44326972216,32623.8538050272
470.755509540806,1459.2967,f1323,29635.1374388337,69056.4662408006,41835.6904500731,65939.6799595983,77573.7077969252,66626.4897112027,54228.1672448366,57190.07041852,59641.4204886974,51416.9925543053,30839.634309593,69231.4007037797,73497.6103900563,36952.81424646,86126.2915298498
470.7864392068,1447.40539999998,f1324,10231.3186582737,5471.90262188017,14750.3006266952,51761.3684871892,20972.8352929616,54183.0250536601,0,49075.0530754328,0,0,0,0,0,0,15011.6717061102
470.89534939767,78.24645,f1325,131853.56641371,200293.831780778,132635.340798374,141207.105010921,151468.36711702,94963.7653568258,146799.936416842,90074.2912907224,116876.166582129,103154.670873136,91962.6292769254,124729.804276573,105676.564014624,98035.8043020508,139873.61545865
470.904420075235,69.76549999999,f1326,76021.6206868663,332653.681034104,46878.6722941187,127158.817129679,93735.5552368287,60572.0628621874,160387.785122317,51997.2747869521,56349.4232263409,27934.8425513608,65234.6559505176,59124.9860505065,54815.6220501218,56371.2297738791,116903.899951953
471.07574045164,94.5098,f1327,0,0,0,0,0,0,0,28314.3673933594,0,0,0,0,0,0,0
471.120581325192,540.07394999999,f1328,10923.12849859,13030.4792861849,7612.56587728262,19742.8420435533,15011.3364863918,28821.450893335,20616.918723613,20289.3118506476,27664.322039485,16869.0134802058,20334.9513240337,19298.9885850191,18472.6151268214,16271.5872085544,18467.6738364339
471.154180931636,692.66054999999,f1329,0,261976.010615015,2719.54613091052,0,29451.8597456386,40162.2432446436,63587.0618852419,34003.0571248781,102267.254992911,0,41458.668706108,0,6291.46841455783,0,0
471.161917871772,809.46080000002,f1330,3623.77352917194,24436.3679245338,37671.0274410869,20892.7907607257,39984.5762302192,29871.1688303947,23819.3159687519,27261.7017116051,18450.2368149571,13982.3431260511,19789.6140047126,36758.3012874424,27512.0647582896,41216.4899085206,45462.1177263813
471.20830084616,631.83080000002,f1331,0,14598.2783383915,0,0,0,0,6638.17337734811,0,3453.67278176546,0,0,0,0,0,0
471.244506406926,573.95010000002,f1332,27038.2403270379,46038.0582312495,46865.1887533106,56468.9644688374,36223.2845123548,40232.7078395523,47236.738938421,33336.2241064757,26148.5869227499,47906.7710824851,38846.5603310131,52063.5324130207,40836.6845504194,49996.1603618786,63502.0577732548
472.157555450296,690.02489999998,f1333,0,45808.741365033,0,0,0,0,12708.287961257,0,15299.715244857,0,0,0,0,0,0
472.183052221775,536.8115,f1334,18970.3355234766,12864.3220769353,11546.1433611345,12201.950415045,18119.9290720428,16858.3211663812,13025.113579955,6743.43001712859,8705.92653791606,20503.7606099993,12735.6692225989,23177.5492783079,15003.9247748125,17408.1782202274,8806.99754648283
472.902194213244,69.67240000002,f1335,57414.218884903,76195.8837660644,80206.7693873817,85852.6722912054,47687.571456502,21243.1516792439,39664.120399375,20663.7336802222,54781.2131887712,27672.1200921983,16419.10063582,63706.9079232127,20256.2485598959,52643.9744819598,114589.320556291
472.915535329982,74.1532,f1336,42237.3818733662,44793.0650239006,40851.8665810263,41911.6112108126,34604.6416378418,20575.2426131093,266302.252051449,24584.8471877277,30800.8071107492,20314.6427502504,21315.5051331103,29910.3955383241,23973.6463167477,25734.8546377052,36340.3143942585
472.92482994702,66.44219999998,f1337,70065.6390529089,992364.178252357,73686.8714474999,89359.3751467741,34334.9368914562,24582.2922364175,106429.582370569,21190.4567973822,46071.3343689898,31137.4742315625,74127.7436262332,61401.2434762838,20573.4116249997,68500.3558295208,133363.582675012
473.177703085046,761.20459999998,f1338,3146.87042617053,18764.3647294864,31704.4984977096,16760.2202718616,32024.3295275758,19997.1202808246,19991.8698745705,19177.7236981764,17320.6481038953,21151.2049497634,19798.384904623,29746.8478356488,8725.45236054808,31748.9675012678,35756.2422246002
473.282919684447,1647.79244999999,f1339,111181.027251343,67822.3834786763,124298.939232971,35402.3201142251,74680.6342418472,96019.1585972435,122213.651751819,47723.3295870596,60024.9677873222,49313.1895129116,30732.6966308927,238528.896613332,49932.9820714746,35985.5027764173,163991.243455729
473.323327205862,986.13729999998,f1340,144116.128449052,0,0,0,0,0,0,0,0,0,0,0,0,0,0
473.925456852002,68.15205000001,f1341,21749.3117725328,333045.779069867,37112.4842761299,34626.371794042,16833.0129664689,7860.66847202927,119583.710433428,5477.63087906688,19147.6932148598,14872.871053135,36950.5767959539,28410.4618704179,10965.4104203179,27275.5206727777,45040.3667917475
474.326525497411,986.13729999998,f1342,40705.1295615744,0,0,0,0,0,0,0,0,0,0,0,0,0,0
474.818676847093,1411.58974999999,f1343,16879.2803851107,28561.017586996,3251.62732444704,23718.2479256835,0,0,15043.1387741455,0,9651.58670532703,9913.32482886314,0,15542.0110972464,19858.5494751138,0,17983.5036028973
474.84226069141,81.91190000002,f1344,3797.54232217651,12810.4349258395,16805.6447661147,6742.16347977053,10576.7101627645,9801.7736669071,0,14142.0155381281,14954.8946770225,12277.4134727597,14658.4578179899,11026.6602629609,20381.2559625879,13110.7646060538,10107.6561588999
474.889612199283,91.4835,f1345,0,17099.8297885619,20084.7253706872,18836.8995660916,41676.4697313384,15604.8609073074,0,17394.4544614977,12778.0067061901,13440.5489754598,7430.29455939913,25152.1077392818,20026.0804597945,23063.1636893777,29359.3215034157
474.913547506873,66.21129999998,f1346,140881.241939013,547654.091519445,173288.169264835,194143.626195205,75059.7748361342,48714.5019908135,300001.696696343,54880.2104872559,131361.674055256,96751.4229328856,124303.536333997,142063.120861194,70896.6278133459,140435.39485847,187669.344832182
474.922501277481,66.29209999999,f1347,140881.241939013,509748.92585369,26269.40154,180401.087699631,69796.1683769609,41456.6351706695,150075.803294281,57013.7195276298,19372.0460854782,96751.4229328856,119634.039225226,35887.6123618098,70896.6278133459,28060.9450426758,172039.981775669
474.963559598704,1600.52199999998,f1348,32442.7436681456,29685.4487694303,30915.9020060062,29118.6508937091,35519.7272483121,25023.7882254812,28403.825362289,24233.9706944236,22087.6109717131,24243.4247854501,25430.1730637944,25213.7011852711,27493.3598893742,18191.3011042749,27758.0178662829
475.174954748155,1512.8627,f1349,102380.021001148,94237.980308813,133856.151138654,0,231775.494851924,0,278349.616535365,0,50239.8886808245,63957.9513057978,0,123872.602355542,0,0,505039.327140005
475.913907163303,65.49739999999,f1350,52492.9446741343,144740.618202011,43639.8818288992,49126.8103066863,24502.6054283304,14381.2105778884,21498.3723652549,14765.3638704902,43022.1646198905,34991.5961748753,32238.2806319694,54352.270787742,20515.9243990235,45966.5910987273,57129.6263221269
476.816703712072,1411.58974999999,f1351,64781.9913500241,89503.5463014455,59076.3613635817,93988.9224585989,98926.544990597,48350.295200265,59627.0970799258,42493.0556953109,51702.4041695795,40191.4869649632,20320.162389949,59409.0691780888,55493.8658935915,34991.3586284908,64130.941291919
476.840998997401,91.73750000002,f1352,0,0,0,2493.22761197854,0,0,0,0,42664.5765172271,42482.074253041,0,35524.7210708407,12236.789102016,0,3440.45134390891
476.91098775845,64.7842,f1353,53554.4795329906,111859.278310649,78297.9460845756,76719.4636284383,47795.2814091565,14814.4436660156,25835.6882505119,41505.127525121,62477.307772186,38020.7435140628,38113.8605980352,144809.576628402,27905.7644393039,47912.2497360017,72876.3688196121
476.920309298862,65.11490000002,f1354,58030.3400037974,103497.520891992,80597.9140834613,76719.4636284383,51219.7880428517,52194.6255211078,67374.7648303397,44823.5276336193,121157.150704491,40835.7282204773,41211.3992862225,155214.549606419,30154.1619636118,51897.1819282983,85598.2270856053
476.921449930513,70.00829999998,f1355,148161.69996498,848248.715713925,133995.383675953,202003.475089604,104846.326208213,42403.6512202378,100443.362150217,49304.9256138112,121688.030054312,74336.6166152339,65633.7310689247,138176.327336068,43215.3458499759,65497.4717331235,155075.875188848
476.979155364854,1497.53390000002,f1356,149480.164687991,127651.557603993,130692.812498146,136253.444662935,115754.147067891,128055.381391077,124775.423345759,129716.490191588,117336.429340571,111474.316620813,123096.796801943,110775.062730769,112864.701677503,119039.039254227,111143.903231634
